timestamp,wind_speed_ms,gust_ms,rainfall_mm
2024-03-01 00:00:00+00:00,11.37,16.02,0.06
2024-03-01 01:00:00+00:00,17.85,23.49,0.1
2024-03-01 02:00:00+00:00,12.89,18.0,0.04
2024-03-01 03:00:00+00:00,14.27,16.29,0.08
2024-03-01 04:00:00+00:00,12.6,14.68,0.08
2024-03-01 05:00:00+00:00,18.22,23.39,0.1
2024-03-01 06:00:00+00:00,17.95,24.54,0.09
2024-03-01 07:00:00+00:00,17.35,22.77,0.18
2024-03-01 08:00:00+00:00,15.39,18.47,0.17
2024-03-01 09:00:00+00:00,18.69,26.02,0.15
2024-03-01 10:00:00+00:00,17.2,21.21,0.3
2024-03-01 11:00:00+00:00,22.11,27.41,0.4
2024-03-01 12:00:00+00:00,21.6,25.04,0.37
2024-03-01 13:00:00+00:00,20.91,30.93,0.27
2024-03-01 14:00:00+00:00,17.14,23.77,0.86
2024-03-01 15:00:00+00:00,19.84,28.07,0.24
2024-03-01 16:00:00+00:00,22.84,31.67,0.38
2024-03-01 17:00:00+00:00,23.88,36.09,0.76
2024-03-01 18:00:00+00:00,23.85,26.94,0.67
2024-03-01 19:00:00+00:00,19.53,24.11,0.41
2024-03-01 20:00:00+00:00,22.8,28.5,0.58
2024-03-01 21:00:00+00:00,24.19,31.31,0.91
2024-03-01 22:00:00+00:00,20.08,23.87,0.49
2024-03-01 23:00:00+00:00,23.22,30.21,0.42
2024-03-02 00:00:00+00:00,24.23,29.78,0.52
2024-03-02 01:00:00+00:00,23.99,30.81,0.79
2024-03-02 02:00:00+00:00,22.31,29.72,0.45
2024-03-02 03:00:00+00:00,25.85,34.71,1.1
2024-03-02 04:00:00+00:00,27.01,36.59,0.64
2024-03-02 05:00:00+00:00,28.59,37.49,0.94
2024-03-02 06:00:00+00:00,29.26,39.19,1.45
2024-03-02 07:00:00+00:00,30.87,47.62,0.95
2024-03-02 08:00:00+00:00,32.93,41.8,1.55
2024-03-02 09:00:00+00:00,35.09,42.92,6.63
2024-03-02 10:00:00+00:00,35.11,45.7,1.13
2024-03-02 11:00:00+00:00,36.07,42.79,2.27
2024-03-02 12:00:00+00:00,37.85,51.82,2.62
2024-03-02 13:00:00+00:00,35.31,47.21,2.59
2024-03-02 14:00:00+00:00,39.84,54.33,5.82
2024-03-02 15:00:00+00:00,39.46,59.54,3.42
2024-03-02 16:00:00+00:00,39.74,51.15,6.87
2024-03-02 17:00:00+00:00,41.36,56.07,2.94
2024-03-02 18:00:00+00:00,36.56,46.65,2.75
2024-03-02 19:00:00+00:00,36.5,44.23,7.71
2024-03-02 20:00:00+00:00,40.2,52.36,3.69
2024-03-02 21:00:00+00:00,39.81,56.03,2.61
2024-03-02 22:00:00+00:00,40.3,46.4,5.08
2024-03-02 23:00:00+00:00,39.64,51.84,4.22
2024-03-03 00:00:00+00:00,42.1,57.97,5.3
2024-03-03 01:00:00+00:00,43.37,55.85,4.74
2024-03-03 02:00:00+00:00,43.69,55.97,7.34
2024-03-03 03:00:00+00:00,43.75,59.92,3.92
2024-03-03 04:00:00+00:00,42.17,55.33,3.11
2024-03-03 05:00:00+00:00,48.53,61.82,3.87
2024-03-03 06:00:00+00:00,50.97,65.44,7.61
2024-03-03 07:00:00+00:00,51.72,74.36,6.96
2024-03-03 08:00:00+00:00,50.84,64.92,14.36
2024-03-03 09:00:00+00:00,54.9,71.78,6.83
2024-03-03 10:00:00+00:00,56.51,72.36,5.39
2024-03-03 11:00:00+00:00,58.7,78.44,22.98
2024-03-03 12:00:00+00:00,55.42,76.04,15.05
2024-03-03 13:00:00+00:00,56.91,77.17,11.94
2024-03-03 14:00:00+00:00,58.63,83.97,15.25
2024-03-03 15:00:00+00:00,57.3,76.69,6.96
2024-03-03 16:00:00+00:00,54.92,76.73,5.75
2024-03-03 17:00:00+00:00,56.82,76.44,6.54
2024-03-03 18:00:00+00:00,56.32,74.22,15.18
2024-03-03 19:00:00+00:00,54.7,70.7,11.58
2024-03-03 20:00:00+00:00,54.14,74.4,4.85
2024-03-03 21:00:00+00:00,52.68,67.51,9.79
2024-03-03 22:00:00+00:00,55.06,69.94,6.38
2024-03-03 23:00:00+00:00,50.86,71.24,19.31
2024-03-04 00:00:00+00:00,51.38,63.98,11.57
2024-03-04 01:00:00+00:00,52.65,68.38,9.83
2024-03-04 02:00:00+00:00,54.62,66.78,8.6
2024-03-04 03:00:00+00:00,51.48,64.96,5.47
2024-03-04 04:00:00+00:00,52.74,68.04,10.47
2024-03-04 05:00:00+00:00,52.64,71.5,8.24
2024-03-04 06:00:00+00:00,57.18,74.31,14.31
2024-03-04 07:00:00+00:00,56.36,80.97,6.99
2024-03-04 08:00:00+00:00,58.54,76.1,10.87
2024-03-04 09:00:00+00:00,61.04,80.62,5.84
2024-03-04 10:00:00+00:00,59.39,74.98,6.31
2024-03-04 11:00:00+00:00,61.03,80.01,6.39
2024-03-04 12:00:00+00:00,60.0,82.69,7.34
2024-03-04 13:00:00+00:00,61.13,77.68,15.77
2024-03-04 14:00:00+00:00,59.98,80.37,8.17
2024-03-04 15:00:00+00:00,56.96,76.0,8.24
2024-03-04 16:00:00+00:00,56.49,72.23,4.92
2024-03-04 17:00:00+00:00,56.99,76.95,7.32
2024-03-04 18:00:00+00:00,54.33,70.03,7.12
2024-03-04 19:00:00+00:00,49.78,65.21,5.43
2024-03-04 20:00:00+00:00,51.62,66.58,8.14
2024-03-04 21:00:00+00:00,47.36,57.01,5.95
2024-03-04 22:00:00+00:00,50.27,66.72,4.28
2024-03-04 23:00:00+00:00,48.66,67.36,6.65
2024-03-05 00:00:00+00:00,46.74,57.97,5.53
2024-03-05 01:00:00+00:00,46.06,59.66,4.41
2024-03-05 02:00:00+00:00,45.22,61.24,3.03
2024-03-05 03:00:00+00:00,46.65,62.45,4.59
2024-03-05 04:00:00+00:00,45.05,63.67,9.72
2024-03-05 05:00:00+00:00,46.24,60.48,7.94
2024-03-05 06:00:00+00:00,47.53,66.3,5.22
2024-03-05 07:00:00+00:00,45.34,60.49,3.11
2024-03-05 08:00:00+00:00,45.33,52.54,6.22
2024-03-05 09:00:00+00:00,44.3,61.09,6.39
2024-03-05 10:00:00+00:00,44.22,56.22,2.36
2024-03-05 11:00:00+00:00,42.45,54.92,7.58
2024-03-05 12:00:00+00:00,45.92,62.17,8.23
2024-03-05 13:00:00+00:00,46.72,60.89,2.66
2024-03-05 14:00:00+00:00,44.89,63.58,2.83
2024-03-05 15:00:00+00:00,38.49,44.42,1.72
2024-03-05 16:00:00+00:00,40.88,49.61,4.34
2024-03-05 17:00:00+00:00,40.46,51.54,2.71
2024-03-05 18:00:00+00:00,35.77,45.57,2.97
2024-03-05 19:00:00+00:00,35.15,46.42,2.57
2024-03-05 20:00:00+00:00,30.2,39.63,2.4
2024-03-05 21:00:00+00:00,32.62,43.47,1.69
